titulo,empresa,localizacao,salario,data_coleta
Analista de Dados Sênior,Proativa RH,"São Paulo / SP
              



                      A empresa aceita candidaturas de São Paulo e cidades próximas",A combinar,2025-07-19
Analista de Dados Financeiros,Confidencial,"Rio de Janeiro / RJ
              



                      A empresa aceita candidaturas de qualquer cidade do Brasil",A combinar,2025-07-19
Analista de Dados (Databricks),TO Brasil Consultoria em Tecnologia da Informação,"São Paulo / SP
              



                      A empresa aceita apenas candidaturas de São Paulo",A combinar,2025-07-19
Analista de Privacidade de Dados Sênior,iestro,"São Bernardo do Campo / SP
              



                      A empresa aceita candidaturas de São Bernardo do Campo e cidades próximas",A combinar,2025-07-19
Analista de Dados Pleno / Senior - TI,Epimed Solutions,N/A,A combinar,2025-07-19
Analista de Dados Sr - Bi,OceanPact Serviços Maritimos S.A,"Rio de Janeiro / RJ
              



                      A empresa aceita candidaturas de Rio de Janeiro e cidades próximas",A combinar,2025-07-19
10872 - Analista de Banco de Dados Sênior,Confidencial,N/A,A combinar,2025-07-19
Analista Ciência de Dados I,Universidade Anhembi Morumbi,N/A,A combinar,2025-07-19
Analista Planejamento e Informacoes Pl (Analista de Dados),SulAmérica,"São Paulo / SP
              



                      A empresa aceita candidaturas de São Paulo e cidades próximas",A combinar,2025-07-19
Analista de Dados (Gestao Sinistros Pl),SulAmérica,"São Paulo / SP
              



                      A empresa aceita candidaturas de São Paulo e cidades próximas",A combinar,2025-07-19
Analista Sr - Qualidade (Gestão de Dados) - Corporativo RJ,Rede D'Or,"Rio de Janeiro / RJ
              



                      A empresa aceita candidaturas de qualquer cidade do Brasil",A combinar,2025-07-19
Analista Sr - Qualidade (Gestão de Dados) - Corporativo SP,Rede D'Or,"São Paulo / SP
              



                      A empresa aceita candidaturas de qualquer cidade do Brasil",A combinar,2025-07-19
Analista de Dados (VAGA Extensiva para Pessoas com Deficiência),Concremat,"Itabira / MG
              



                      A empresa aceita candidaturas de Itabira e cidades próximas",A combinar,2025-07-19
Analista Sr / Analista de Dados  - Serviços Compartilhados PE - Hospital Esperança Recife,Rede D'Or,"Recife / PE
              



                      A empresa aceita candidaturas de Recife e cidades próximas",A combinar,2025-07-19
Analista de B.i - Sênior,Convergint Brasil,"São Paulo / SP
              



                      A empresa aceita apenas candidaturas de São Paulo",A combinar,2025-07-19
Analista de Sistemas Pl,Marjan Farma,"São Paulo / SP
              



                      A empresa aceita candidaturas de São Paulo e cidades próximas",A combinar,2025-07-19
